decimallongitude,decimallatitude,DOI,Year,Paper_ID
-45.405,-23.814,http://dx.doi.org/10.1590/1982-0224-20170168,2019,SILIPRANDI CC 2019 NEOTROP ICHTHYOL
-45.397667,-23.811083,10.1016/j.ocecoaman.2021.106021,2022,"NATALIO LF, 2022, OCEAN COASTAL MANAGE"
-45.407,-23.811,http://dx.doi.org/10.1007/s12526-016-0585-z,2018,GUSMAO LC 2018 MAR BIODIVERS
-45.1391667,-23.8030556,,2014,MIZRAHI D 2014 CORAL REEFS
-45.1391667,-23.8030556,,2014,MIZRAHI D 2014 J EXP MAR BIOL ECOL
-45.139,-23.803,http://dx.doi.org/10.1007/s00227-017-3164-3,2017,MIZRAHI D 2017 MAR BIOL
-45.139,-23.803,http://dx.doi.org/10.1007/s10530-018-1903-0,2019,SILVA R 2019 BIOL INVASIONS
-45.1333,-23.8,,2003,NOGUEIRA JMD 2003 BRAZ ARCH BIOL TECHNOL
-45.367,-23.8,http://dx.doi.org/10.1007/s00227-016-2872-4,2016,VIEIRA EA 2016 MAR BIOL
-45.157,-23.799,http://dx.doi.org/10.1007/s00227-019-3580-7,2019,BARBOSA ACC 2019 MAR BIOL
-45.401,-23.791,http://dx.doi.org/10.1007/s00227-005-0111-5,2006,DIAS GM 2006 MAR BIOL
-45.1666667,-23.7833333,,2012,SILVANO RAM 2012 NEOTROP ICHTHYOL
-45.166667,-23.783333,,2001,SILVANO RAM 2001 ENVIRON BIOL FISHES
-45.1667,-23.7833,,2006,SILVANO RAM 2006 BRAZ ARCHZ BIOL TECHNOL
-45.355,-23.772,,2018,ALITTO RAS 2018 ZOOTAXA
-45.355,-23.772,,2013,ANKER ARTHUR 2013 
-45.355,-23.772,,2019,BARBOSA ACC 2019 MAR ECOL -PROG SER
-45.355,-23.772,,2016,CAPEL KCC 2016 GENE
-45.355,-23.772,,2019,CARNEIRO CARVALHO LM 2019 BOL INST PESCA
-45.355,-23.772,,2018,CARRILHO CD 2018 OCEAN COASTAL MANAGE
-45.355,-23.772,,2010,CHIMETTO LA 2010 INT J SYST EVOL MICROBIOL
-45.355,-23.772,,2011,CHIMETTO LA 2011 INT J SYST EVOL MICROBIOL
-45.355,-23.772,,2011,CHIMETTO LA 2011 INT J SYST EVOL MICROBIOL-a
-45.355,-23.772,,2011,CHIMETTO LA 2011 INT J SYST EVOL MICROBIOL-a-b
-45.355,-23.772,,2011,CHIMETTO LA 2011 INT J SYST EVOL MICROBIOL-a-b-c
-45.355,-23.772,,2013,DIAS GM 2013 J MAR BIOL ASSOC U K
-45.355,-23.772,,2020,DO AMARAL VS 2020 REG STUD MAR SCI
-45.355,-23.772,,2017,FERNANDES A 2017 CHELONIAN CONSERV BIOL
-45.355,-23.772,,2007,GIBRAN FZ 2007 NEOTROP ICHTHYOL
