;used;doi;logic;replace on DOI
230;PAULINO GVB 2020 MAR POLLUT BULL;;#REF!;
231;PAZOTO CEM 2010 ECHINODERMS DURHAM;;FALSO;
232;PEREIRA CM 2020 MAR ENVIRON RES;;#REF!;
233;PEREIRA PHC 2011 MARINE BIODIVERSITY RECORDS;PEREIRA PHC 2011 ;FALSO;PEREIRA PHC 2011 MARINE BIODIVERSITY RECORDS
234;PEREIRA PHC 2012 J MAR BIOL ASSOC UK;PEREIRA PHC 2012 ;#REF!;PEREIRA PHC 2012 J MAR BIOL ASSOC UK
235;PEREIRA PHC 2012 MARINE BIODIVERSITY RECORDS;;FALSO;
236;PETEAN FF 2020 J FISH BIOL;;FALSO;
237;PINHEIRO HT 2020 J FISH BIOL;;FALSO;
238;PINTO & BELEN 1997 ICRS8;;FALSO;
239;PIRES & CASTRO 1997 ICRS8;;FALSO;
240;PIRES 2000 ICRS9;;#REF!;
241;PITOMBO 1988 ICRS6;;#REF!;
242;PRATA J 2020 THALASSAS;;#REF!;
243;PRATES & FERREIRA 2004 ICRS10;;FALSO;
244;PRATES 2008 ICRS11;;FALSO;
245;QUIMBAYO JP 2020 J FISH BIOL;;FALSO;
246;RANGEL 2004 AQUA;;FALSO;
247;REIS-FILHO JA 2014 MARINE BIODIVERSITY RECORDS;REIS-FILHO JA 2014 ;FALSO;REIS-FILHO JA 2014 MARINE BIODIVERSITY RECORDS
248;REIS 2000 ICRS9;;FALSO;
249;RIBEIRO FELIPE BEZERRA 2019 ;;FALSO;
250;ROCHA & ROSA 2001 AQUA;;FALSO;
251;ROCHA 2001 AQUA;;FALSO;
252;RODRIGUES MJS 2020 ZOOTAXA;;#REF!;
253;RODRIGUES S 2020 Appl. Biochem. Biotechnol;;#REF!;
254;ROOS NC 2020 SCI REP;;FALSO;
255;ROSA & MOURA 1997 ICRS8;;FALSO;
256;ROSA IC 2011 BIOD CONS;;FALSO;
257;SAA ACA 2020;;FALSO;
258;SAMONTE-TAN 2008 ICRS11;;FALSO;
259;SAMPAIO CLS 2004 ;;FALSO;
260;SAMPAIO CLS 2012 CHECKLIST;;FALSO;
261;SAMPAIO CLS 2015 MARINE BIODIVERSITY RECORDS;SAMPAIO CLS 2015 ;FALSO;SAMPAIO CLS 2015 MARINE BIODIVERSITY RECORDS
262;SAMPAIO CLS 2017 MARINE BIODIVERSITY RECORDS;SAMPAIO CLS 2017 ;FALSO;SAMPAIO CLS 2017 MARINE BIODIVERSITY RECORDS
263;SANTANA JR 2020 J SEA RES;;FALSO;
264;SANTANDER-NETO J 2011 MARINE BIODIVERSITY RECORDS;SANTANDER-NETO J 2011 ;FALSO;SANTANDER-NETO J 2011 MARINE BIODIVERSITY RECORDS
