"","decimallongitude","decimallatitude","DOI","Year","Paper_ID","Rhodolith.beds","Chemical.ecology","Reproduction","Holobiont","Deep.reefs","Climate.change","Fisheries","Methods","Taxonomy...Systematics","Macroalgae...Herbivory","Habitat.structure","Oceanic.islands","Trophic.ecology...Nursery.habitats","Geomorphology...Paleontology","Oceanography...Productivity","Demography","Anthozoan.biology","Hydrodynamics","Fish.interactions","Invasive.species","Biogeography...Phylogeography","Tourism...Pollution","Distribution.limits","Cytogenetics","Conservation...Management","pts_mpas","data","PAPER_ID","Institution.corresponnding","Region"
"http://dx.doi.org/10.1007/s12526-018-0918-1.extracted_coords.1",-34.793,-7.154,"http://dx.doi.org/10.1007/s12526-018-0918-1",2019,"CAVALCANTI T 2019 MAR BIODIVERS",0.041370394,0.066580478,0.024563672,0.024563672,0.01616031,0.032967033,0.032967033,0.024563672,0.251454428,0.01616031,0.024563672,0.01616031,0.024563672,0.01616031,0.024563672,0.024563672,0.032967033,0.117000646,0.024563672,0.01616031,0.032967033,0.024563672,0.024563672,0.01616031,0.024563672,NA,"function","CAVALCANTI T 2019 MAR BIODIVERS","UNIV FED PERNAMBUCO UFPE","Northeastern"
"http://dx.doi.org/10.1007/s12526-018-0918-1.extracted_coords.2",-34.798,-7.147,"http://dx.doi.org/10.1007/s12526-018-0918-1",2019,"CAVALCANTI T 2019 MAR BIODIVERS",0.041370394,0.066580478,0.024563672,0.024563672,0.01616031,0.032967033,0.032967033,0.024563672,0.251454428,0.01616031,0.024563672,0.01616031,0.024563672,0.01616031,0.024563672,0.024563672,0.032967033,0.117000646,0.024563672,0.01616031,0.032967033,0.024563672,0.024563672,0.01616031,0.024563672,NA,"function","CAVALCANTI T 2019 MAR BIODIVERS","UNIV FED PERNAMBUCO UFPE","Northeastern"
"http://dx.doi.org/10.1007/s12526-018-0918-1.extracted_coords.3",-34.933,-6.689,"http://dx.doi.org/10.1007/s12526-018-0918-1",2019,"CAVALCANTI T 2019 MAR BIODIVERS",0.041370394,0.066580478,0.024563672,0.024563672,0.01616031,0.032967033,0.032967033,0.024563672,0.251454428,0.01616031,0.024563672,0.01616031,0.024563672,0.01616031,0.024563672,0.024563672,0.032967033,0.117000646,0.024563672,0.01616031,0.032967033,0.024563672,0.024563672,0.01616031,0.024563672,NA,"function","CAVALCANTI T 2019 MAR BIODIVERS","UNIV FED PERNAMBUCO UFPE","Northeastern"
"http://dx.doi.org/10.1007/s12526-018-0918-1.extracted_coords.4",-34.814,-7.617,"http://dx.doi.org/10.1007/s12526-018-0918-1",2019,"CAVALCANTI T 2019 MAR BIODIVERS",0.041370394,0.066580478,0.024563672,0.024563672,0.01616031,0.032967033,0.032967033,0.024563672,0.251454428,0.01616031,0.024563672,0.01616031,0.024563672,0.01616031,0.024563672,0.024563672,0.032967033,0.117000646,0.024563672,0.01616031,0.032967033,0.024563672,0.024563672,0.01616031,0.024563672,"¡REA DE PROTE«√O AMBIENTAL DE SANTA CRUZ","function","CAVALCANTI T 2019 MAR BIODIVERS","UNIV FED PERNAMBUCO UFPE","Northeastern"
"http://dx.doi.org/10.1007/s12526-018-0918-1.extracted_coords.5",-34.8,-7.319,"http://dx.doi.org/10.1007/s12526-018-0918-1",2019,"CAVALCANTI T 2019 MAR BIODIVERS",0.041370394,0.066580478,0.024563672,0.024563672,0.01616031,0.032967033,0.032967033,0.024563672,0.251454428,0.01616031,0.024563672,0.01616031,0.024563672,0.01616031,0.024563672,0.024563672,0.032967033,0.117000646,0.024563672,0.01616031,0.032967033,0.024563672,0.024563672,0.01616031,0.024563672,NA,"function","CAVALCANTI T 2019 MAR BIODIVERS","UNIV FED PERNAMBUCO UFPE","Northeastern"
"http://dx.doi.org/10.1007/s10750-019-3938-3.extracted_coords",-48.418,-25.41,"http://dx.doi.org/10.1007/s10750-019-3938-3",2019,"BOSCO GUSMAO J 2019 HYDROBIOLOGIA",0.011312217,0.011312217,0.011312217,0.01719457,0.01719457,0.040723982,0.011312217,0.01719457,0.011312217,0.040723982,0.252488688,0.011312217,0.052488688,0.034841629,0.01719457,0.034841629,0.023076923,0.21719457,0.011312217,0.028959276,0.011312217,0.034841629,0.028959276,0.011312217,0.01719457,"¡REA DE PROTE«√O AMBIENTAL DE GUARAQUE«ABA","function","BOSCO GUSMAO J 2019 HYDROBIOLOGIA",NA,"Foreign"
"http://dx.doi.org/10.1007/s12686-018-0986-3.extracted_coords",-42.45,-23.233,"http://dx.doi.org/10.1007/s12686-018-0986-3",2019,"SEIXAS VC 2019 CONSERV GENET RESOUR",0.016869096,0.113360324,0.025641026,0.113360324,0.034412955,0.016869096,0.025641026,0.016869096,0.016869096,0.025641026,0.025641026,0.016869096,0.025641026,0.025641026,0.025641026,0.034412955,0.016869096,0.016869096,0.016869096,0.016869096,0.148448043,0.025641026,0.095816464,0.034412955,0.025641026,NA,"function","SEIXAS VC 2019 CONSERV GENET RESOUR",NA,"Foreign"
"http://dx.doi.org/10.1007/s10530-019-01921-1.extracted_coords",-45.441,-23.828,"http://dx.doi.org/10.1007/s10530-019-01921-1",2019,"MADEIRA C 2019 BIOL INVASIONS",0.009473285,0.014399394,0.014399394,0.014399394,0.034103827,0.38878363,0.009473285,0.019325502,0.078438803,0.014399394,0.02425161,0.009473285,0.014399394,0.014399394,0.014399394,0.039029936,0.009473285,0.029177719,0.009473285,0.127699886,0.019325502,0.009473285,0.02425161,0.014399394,0.034103827,"APA MARINHA DO LITORAL NORTE","function","MADEIRA C 2019 BIOL INVASIONS","UNIV LISBON","Foreign"
"http://dx.doi.org/10.1002/ece3.5095.extracted_coords.1",-41.884,-22.762,"http://dx.doi.org/10.1002/ece3.5095",2019,"SILVA DP 2019 ECOL EVOL",0.010229133,0.07405892,0.02086743,0.02086743,0.010229133,0.17512275,0.015548282,0.026186579,0.010229133,0.036824877,0.02086743,0.015548282,0.02086743,0.010229133,0.047463175,0.010229133,0.042144026,0.015548282,0.02086743,0.116612111,0.010229133,0.084697218,0.015548282,0.010229133,0.132569558,NA,"function","SILVA DP 2019 ECOL EVOL",NA,"Foreign"
"http://dx.doi.org/10.1002/ece3.5095.extracted_coords.2",-41.877,-22.742,"http://dx.doi.org/10.1002/ece3.5095",2019,"SILVA DP 2019 ECOL EVOL",0.010229133,0.07405892,0.02086743,0.02086743,0.010229133,0.17512275,0.015548282,0.026186579,0.010229133,0.036824877,0.02086743,0.015548282,0.02086743,0.010229133,0.047463175,0.010229133,0.042144026,0.015548282,0.02086743,0.116612111,0.010229133,0.084697218,0.015548282,0.010229133,0.132569558,"PARQUE NATURAL MUNICIPAL DOS CORAIS DE ARMA«√O DOS B⁄ZIOS","function","SILVA DP 2019 ECOL EVOL",NA,"Foreign"
